id, date, sales, stock
743, 2024-09-17, 20, 0
359, 2024-09-17, 27, 4
783, 2024-09-17, 20, 0
530, 2024-09-17, 2, 20
641, 2024-09-18, 0, 17
232, 2024-09-18, 16, 7
998, 2024-09-18, 9, 13
468, 2024-09-18, 0, 24
272, 2024-09-18, 16, 7
598, 2024-09-18, 25, 0
246, 2024-09-18, 22, 0
837, 2024-09-18, 15, 0
743, 2024-09-18, 5, 13
359, 2024-09-18, 7, 12
783, 2024-09-18, 19, 11
530, 2024-09-18, 0, 3
641, 2024-09-19, 0, 13
232, 2024-09-19, 21, 28
998, 2024-09-19, 0, 0
468, 2024-09-19, 28, 1
272, 2024-09-19, 16, 11
598, 2024-09-19, 21, 23
246, 2024-09-19, 5, 1
837, 2024-09-19, 0, 0
743, 2024-09-19, 0, 19
359, 2024-09-19, 0, 24
783, 2024-09-19, 14, 23
530, 2024-09-19, 4, 0
641, 2024-09-20, 26, 0
232, 2024-09-20, 15, 0
998, 2024-09-20, 0, 0
468, 2024-09-20, 0, 0
272, 2024-09-20, 0, 10
598, 2024-09-20, 20, 24
246, 2024-09-20, 0, 0
837, 2024-09-20, 15, 17
743, 2024-09-20, 16, 6
359, 2024-09-20, 24, 24
783, 2024-09-20, 0, 24
530, 2024-09-20, 17, 0
641, 2024-09-21, 8, 0
232, 2024-09-21, 0, 23
998, 2024-09-21, 11, 8
468, 2024-09-21, 11, 0
272, 2024-09-21, 2, 11
598, 2024-09-21, 0, 16
246, 2024-09-21, 5, 0
837, 2024-09-21, 0, 11
743, 2024-09-21, 0, 3
359, 2024-09-21, 22, 0
783, 2024-09-21, 0, 8
530, 2024-09-21, 9, 24
641, 2024-09-22, 0, 0
232, 2024-09-22, 21, 0
998, 2024-09-22, 23, 0
468, 2024-09-22, 20, 25
272, 2024-09-22, 0, 26
598, 2024-09-22, 13, 23
246, 2024-09-22, 4, 24
837, 2024-09-22, 11, 13
743, 2024-09-22, 0, 0
359, 2024-09-22, 14, 0
783, 2024-09-22, 0, 10
530, 2024-09-22, 0, 0
641, 2024-09-23, 18, 0
232, 2024-09-23, 3, 25
998, 2024-09-23, 10, 28
468, 2024-09-23, 11, 24
272, 2024-09-23, 22, 0
598, 2024-09-23, 2, 0
246, 2024-09-23, 16, 21
837, 2024-09-23, 26, 17
743, 2024-09-23, 9, 11
359, 2024-09-23, 14, 24
783, 2024-09-23, 13, 21
530, 2024-09-23, 0, 24
641, 2024-09-24, 27, 12
232, 2024-09-24, 0, 2
998, 2024-09-24, 11, 0
468, 2024-09-24, 5, 0
272, 2024-09-24, 0, 16
598, 2024-09-24, 0, 17
246, 2024-09-24, 2, 18
837, 2024-09-24, 27, 15
743, 2024-09-24, 24, 0
359, 2024-09-24, 0, 16
783, 2024-09-24, 16, 0
530, 2024-09-24, 0, 0
641, 2024-09-25, 20, 16
232, 2024-09-25, 0, 26
998, 2024-09-25, 25, 19
468, 2024-09-25, 23, 8
272, 2024-09-25, 13, 7
598, 2024-09-25, 22, 27
246, 2024-09-25, 13, 20
837, 2024-09-25, 22, 6
743, 2024-09-25, 0, 25
359, 2024-09-25, 28, 25
783, 2024-09-25, 0, 9
530, 2024-09-25, 12, 15
641, 2024-09-26, 14, 28
232, 2024-09-26, 2, 0
998, 2024-09-26, 11, 16
468, 2024-09-26, 4, 0
272, 2024-09-26, 18, 0
598, 2024-09-26, 3, 0
246, 2024-09-26, 28, 8
837, 2024-09-26, 23, 23
743, 2024-09-26, 0, 24
359, 2024-09-26, 1, 0
783, 2024-09-26, 16, 23
530, 2024-09-26, 1, 18
641, 2024-09-27, 17, 22
232, 2024-09-27, 0, 5
998, 2024-09-27, 14, 14
468, 2024-09-27, 15, 0
272, 2024-09-27, 0, 24
598, 2024-09-27, 0, 0
246, 2024-09-27, 13, 13
837, 2024-09-27, 10, 24
743, 2024-09-27, 7, 0
359, 2024-09-27, 28, 22
783, 2024-09-27, 0, 14
530, 2024-09-27, 9, 14
641, 2024-09-28, 29, 18
232, 2024-09-28, 7, 0
998, 2024-09-28, 13, 8
468, 2024-09-28, 0, 27
272, 2024-09-28, 17, 0
598, 2024-09-28, 7, 23
246, 2024-09-28, 27, 0
837, 2024-09-28, 13, 20
743, 2024-09-28, 0, 0
359, 2024-09-28, 6, 0
783, 2024-09-28, 7, 6
530, 2024-09-28, 9, 14
641, 2024-09-29, 17, 26
232, 2024-09-29, 10, 7
998, 2024-09-29, 2, 8
468, 2024-09-29, 19, 0
272, 2024-09-29, 0, 8
598, 2024-09-29, 27, 0
246, 2024-09-29, 8, 0
837, 2024-09-29, 13, 15
743, 2024-09-29, 21, 28
359, 2024-09-29, 2, 0
783, 2024-09-29, 1, 0
530, 2024-09-29, 13, 0
641, 2024-09-30, 0, 0
232, 2024-09-30, 0, 18
998, 2024-09-30, 28, 0
468, 2024-09-30, 1, 0
272, 2024-09-30, 14, 0
598, 2024-09-30, 0, 4
246, 2024-09-30, 0, 0
837, 2024-09-30, 12, 0
743, 2024-09-30, 21, 1
359, 2024-09-30, 6, 23
783, 2024-09-30, 8, 29
530, 2024-09-30, 23, 7
641, 2024-10-01, 8, 16
232, 2024-10-01, 0, 11
998, 2024-10-01, 10, 13
468, 2024-10-01, 9, 2
272, 2024-10-01, 0, 11
598, 2024-10-01, 14, 1
246, 2024-10-01, 0, 0
837, 2024-10-01, 0, 10
743, 2024-10-01, 0, 0
359, 2024-10-01, 0, 22
783, 2024-10-01, 0, 27
530, 2024-10-01, 0, 17
641, 2024-10-02, 0, 11
232, 2024-10-02, 0, 17
998, 2024-10-02, 28, 28
468, 2024-10-02, 0, 5
272, 2024-10-02, 17, 20
598, 2024-10-02, 15, 26
246, 2024-10-02, 2, 0
837, 2024-10-02, 0, 6
743, 2024-10-02, 2, 27
359, 2024-10-02, 27, 19
783, 2024-10-02, 0, 0
530, 2024-10-02, 8, 0
641, 2024-10-03, 0, 0
232, 2024-10-03, 0, 0
998, 2024-10-03, 0, 0
468, 2024-10-03, 0, 0
272, 2024-10-03, 15, 25
598, 2024-10-03, 0, 18
246, 2024-10-03, 20, 20
837, 2024-10-03, 15, 27
743, 2024-10-03, 0, 29
359, 2024-10-03, 0, 0
783, 2024-10-03, 0, 2
530, 2024-10-03, 15, 10
